SN,Side,one_pixel_number,two_pixel_number,three_pixel_number,four_pixel_number,one_pixel_number_w,two_pixel_number_w,three_pixel_number_w,four_pixel_number_w,Accurate,Accurate_w 
QA9Q230519001,L,0,1,0,0,0,0,0,0,0.9448051948051948,0.9541666666666667 
QA9Q230519001,R,0,0,0,0,0,0,0,0,0.9252548131370328,0.946524064171123 
QA9Q230519002,L,0,0,0,0,0,0,0,0,0.9409190371991247,0.9322916666666666 
QA9Q230519002,R,1,0,0,0,0,0,0,0,0.9527472527472527,0.9409905163329821 
QA9Q230519003,L,0,0,0,0,0,0,0,0,0.9635761589403974,0.9369085173501577 
QA9Q230519003,R,0,0,0,0,0,0,0,0,0.9240924092409241,0.9286463798530955 
QA9Q230519004,L,1,0,0,0,0,0,0,0,0.9363538295577131,0.9455292908530318 
QA9Q230519004,R,0,0,0,0,0,0,0,0,0.9319955406911928,0.9015873015873016 
QA9Q230519005,R,0,0,0,0,0,0,0,0,0.9618320610687023,0.9102167182662538 
QA9Q230519006,L,0,0,0,0,0,0,0,0,0.9378468368479467,0.935251798561151 
QA9Q230519006,R,1,0,0,0,0,0,0,0,0.9580645161290322,0.9647668393782384 
QA9Q230519007,L,1,0,0,0,0,0,0,0,0.9178228388473852,0.9626168224299065 
QA9Q230519007,R,0,0,0,0,0,0,0,0,0.927710843373494,0.950682056663169 
QA9Q230519008,L,0,0,0,0,0,0,0,0,0.9155446756425949,0.9321266968325792 
QA9Q230519008,R,3,0,0,0,0,0,0,0,0.9556103575832305,0.9193548387096774 
QA9Q230519009,L,0,0,0,0,0,0,0,0,0.9272930648769575,0.946524064171123 
QA9Q230519009,R,0,0,0,0,0,0,0,0,0.9336384439359268,0.8932346723044398 
QA9Q230519010,L,0,0,0,0,0,0,0,0,0.9489130434782609,0.9552083333333333 
QA9Q230519010,R,0,0,0,0,0,0,0,0,0.9679558011049724,0.8948475289169295 
QA9Q230519011,L,0,0,0,0,0,0,0,0,0.9325481798715204,0.9616580310880829 
QA9Q230519011,R,1,0,0,0,0,0,0,0,0.9120521172638436,0.9814241486068112 
QA9Q230519012,L,0,0,0,0,0,0,0,0,0.9468546637744034,0.9240374609781478 
QA9Q230519012,R,1,0,0,0,0,0,0,0,0.9646799116997793,0.8992731048805815 
QA9Q230519013,R,2,0,0,0,0,0,0,0,0.9003285870755751,0.9439252336448598 
QA9Q230519014,L,0,0,0,0,0,0,0,0,0.9575163398692811,0.9190871369294605 
QA9Q230519014,R,0,0,0,0,0,0,0,0,0.9157175398633257,0.9639065817409767 
QA9Q230519015,L,1,0,0,0,0,0,0,0,0.9474835886214442,0.9559748427672956 
QA9Q230519015,R,0,0,0,0,0,0,0,0,0.9301310043668122,0.9122807017543859 
QA9Q230519016,L,4,0,0,0,0,0,0,0,0.9359243697478992,0.94824016563147 
QA9Q230519016,R,0,0,0,0,0,0,0,0,0.9488574537540805,0.9709241952232607 
QA9Q230519017,L,1,0,0,0,0,0,0,0,0.9656319290465631,0.9195767195767196 
QA9Q230519017,R,0,0,0,0,0,0,0,0,0.9601769911504425,0.9602094240837696 
QA9Q230519018,L,0,0,0,0,0,0,0,0,0.9222577209797657,0.9401015228426396 
QA9Q230519018,R,0,0,0,0,0,0,0,0,0.924892703862661,0.949738219895288 
QA9Q230519019,L,0,0,0,0,0,0,0,0,0.9509476031215162,0.9459172852598091 
QA9Q230519019,R,3,0,0,0,0,0,0,0,0.9737991266375546,0.9273684210526316 
QA9Q230519020,L,0,0,0,0,0,0,0,0,0.9286498353457738,0.9205020920502092 
QA9Q230519020,R,0,0,0,0,0,0,0,0,0.9291938997821351,0.9542143600416233 
QA9Q230520001,L,0,0,0,0,0,0,0,0,0.9600420609884333,0.9155509783728115 
QA9Q230520001,R,0,0,0,0,0,0,0,0,0.9361471861471862,0.9436913451511991 
QA9Q230520002,L,1,0,0,0,0,0,0,0,0.9453551912568307,0.9538300104931794 
QA9Q230520002,R,0,0,0,0,0,0,0,0,0.9463087248322147,0.9369747899159664 
QA9Q230520003,L,0,0,0,0,0,0,0,0,0.8536009445100354,0.8665231431646933 
QA9Q230520003,R,0,0,0,0,0,0,0,0,0.9570484581497798,0.9093782929399368 
QA9Q230520004,L,0,0,0,0,0,0,0,0,0.9397590361445783,0.9511677282377919 
QA9Q230520004,R,0,0,0,0,0,0,0,0,0.813599062133646,0.8054679284963197 
QA9Q230520005,L,1,0,0,0,0,0,0,0,0.9601293103448276,0.9585921325051759 
QA9Q230520005,R,0,0,0,0,0,0,0,0,0.9558665231431647,0.949685534591195 
QA9Q230520006,L,0,0,0,0,0,0,0,0,0.9475409836065574,0.9519331243469175 
QA9Q230520006,R,0,0,0,0,0,0,0,0,0.9531772575250836,0.9411146161934806 
QA9Q230520007,L,1,0,0,0,0,0,0,0,0.9591397849462365,0.9486910994764398 
QA9Q230520007,R,1,0,0,0,0,0,0,0,0.961081081081081,0.9391395592864638 
QA9Q230520008,L,2,0,0,0,0,0,0,0,0.9484083424807903,0.9440928270042194 
QA9Q230520008,R,0,0,0,0,0,0,0,0,0.9520174482006543,0.9757894736842105 
QA9Q230520009,L,0,0,0,0,0,0,0,0,0.961038961038961,0.9426485922836287 
QA9Q230520009,R,0,0,0,0,0,0,0,0,0.9509132420091324,0.907725321888412 
QA9Q230520010,L,0,0,0,0,0,0,0,0,0.93058568329718,0.9478079331941545 
QA9Q230520010,R,0,0,0,0,0,0,0,0,0.9278350515463918,0.9439655172413793 
QA9Q230520011,L,0,0,0,0,0,0,0,0,0.9709677419354839,0.934375 
QA9Q230520011,R,1,0,0,0,0,0,0,0,0.9619978284473398,0.9748953974895398 
QA9Q230520013,L,0,0,0,0,0,0,0,0,0.9599133261105092,0.9577613516367476 
QA9Q230520013,R,0,0,0,0,0,0,0,0,0.9213872832369943,0.9289501590668081 
QA9Q230520014,L,0,0,0,0,0,0,0,0,0.9150110375275938,0.9277486910994764 
QA9Q230520014,R,0,0,0,0,0,0,0,0,0.9625550660792952,0.9577167019027484 
QA9Q230520015,L,0,0,0,0,0,0,0,0,0.9668094218415417,0.9256198347107438 
QA9Q230520015,R,0,0,0,0,0,0,0,0,0.9494949494949495,0.9282744282744283 
QA9Q230520017,L,0,0,0,0,0,0,0,0,0.9543478260869566,0.952928870292887 
QA9Q230520017,R,1,0,0,0,0,0,0,0,0.9140893470790378,0.9169329073482428 
QA9Q230520018,L,0,1,0,0,0,0,0,0,0.9459459459459459,0.9499478623566214 
QA9Q230520018,R,0,0,0,0,0,0,0,0,0.8061104582843713,0.884133611691023 
QA9Q230520019,L,0,0,0,0,0,0,0,0,0.9653243847874721,0.9302083333333333 
QA9Q230520019,R,0,0,0,0,0,0,0,0,0.9621802002224694,0.9327641408751334 
QA9Q230520020,L,0,0,0,0,0,0,0,0,0.9383116883116883,0.9503105590062112 
QA9Q230520020,R,0,0,0,0,0,0,0,0,0.9536199095022625,0.9225053078556263 
QA9Q230520021,L,0,0,0,0,0,0,0,0,0.9719222462203023,0.9321503131524008 
QA9Q230520021,R,0,0,0,0,0,0,0,0,0.9702643171806168,0.946875 
QA9Q230520022,L,0,0,0,0,0,0,0,0,0.956953642384106,0.9637526652452025 
QA9Q230520022,R,0,0,0,0,0,0,0,0,0.9591836734693877,0.9312896405919662 
QA9Q230520023,L,0,0,0,0,0,0,0,0,0.9458874458874459,0.9548319327731093 
QA9Q230520023,R,0,0,0,0,0,0,0,0,0.9301552106430155,0.9603004291845494 
QA9Q230520024,L,0,0,0,0,0,0,0,0,0.9419978517722879,0.9341692789968652 
QA9Q230520024,R,0,0,0,0,0,0,0,0,0.9606986899563319,0.9516806722689075 
QA9Q230520025,L,2,0,0,0,0,0,0,0,0.9434364994663821,0.9372427983539094 
QA9Q230520025,R,0,0,0,0,0,0,0,0,0.9334073251942286,0.961093585699264 
QA9Q230520027,L,1,0,0,0,0,0,0,0,0.9326710816777042,0.9389473684210526 
QA9Q230520027,R,1,0,0,0,0,0,0,0,0.9539842873176206,0.9220231822971549 
QA9Q230520028,L,1,0,0,0,0,0,0,0,0.9200438116100766,0.9476987447698745 
QA9Q230520028,R,0,0,0,0,0,0,0,0,0.9531772575250836,0.9581993569131833 
QA9Q230520029,L,1,0,0,0,0,0,0,0,0.9592274678111588,0.9118257261410788 
QA9Q230520029,R,0,0,0,0,0,0,0,0,0.9446290143964563,0.950733752620545 
QA9Q230520030,R,0,0,0,0,0,0,0,0,0.9421579532814238,0.9757639620653319 
QA9Q230520031,L,0,0,0,0,0,0,0,0,0.9456869009584664,0.9358178053830227 
QA9Q230520031,R,0,0,0,0,0,0,0,0,0.976998904709748,0.9272151898734177 
QA9Q230520032,L,0,0,0,0,0,0,0,0,0.9711229946524064,0.9491173416407062 
QA9Q230520032,R,0,0,0,0,0,0,0,0,0.9702176403207331,0.9258064516129032 
QA9Q230520033,L,0,0,0,0,0,0,0,0,0.9440175631174533,0.945031712473573 
QA9Q230520033,R,0,0,0,0,0,0,0,0,0.9669703872437357,0.8765822784810127 
QA9Q230520034,L,1,0,0,0,0,0,0,0,0.936965811965812,0.9479166666666666 
QA9Q230520034,R,0,0,0,0,0,0,0,0,0.964516129032258,0.9666666666666667 
QA9Q230520035,L,0,0,0,0,0,0,0,0,0.9448123620309051,0.9511158342189161 
QA9Q230520035,R,1,0,0,0,0,0,0,0,0.9290465631929047,0.9433962264150944 
QA9Q230520036,L,0,0,0,0,0,0,0,0,0.9328193832599119,0.9490445859872612 
QA9Q230520036,R,0,0,0,0,0,0,0,0,0.916030534351145,0.9530271398747391 
QA9Q230520037,L,0,0,0,0,0,0,0,0,0.9712389380530974,0.8954451345755694 
QA9Q230520037,R,1,0,0,0,0,0,0,0,0.9582417582417583,0.9348054679284963 
QA9Q230520038,L,0,0,0,0,0,0,0,0,0.9559471365638766,0.9584221748400853 
QA9Q230520038,R,0,0,0,0,0,0,0,0,0.8906976744186047,0.9463519313304721 
QA9Q230520039,L,0,0,0,0,0,0,0,0,0.9407158836689038,0.9232386961093586 
QA9Q230520039,R,0,0,0,0,0,0,0,0,0.9161816065192084,0.9012738853503185 
QA9Q230520040,L,0,0,0,0,0,0,0,0,0.9508547008547008,0.9731682146542827 
QA9Q230520040,R,0,0,0,0,0,0,0,0,0.9521218715995647,0.9096638655462185 
QA9Q230520041,L,0,0,0,0,0,0,0,0,0.9549356223175965,0.975 
QA9Q230520041,R,202,401,186,2,0,0,0,0,0.939120631341601,0.9544491525423728 
QA9Q230520042,L,0,0,0,0,0,0,0,0,0.9658848614072495,0.9607843137254902 
QA9Q230520042,R,1,0,0,0,0,0,0,0,0.9359823399558499,0.9317943336831059 
QA9Q230520043,L,0,0,0,0,0,0,0,0,0.9786324786324786,0.9585921325051759 
QA9Q230520043,R,0,0,0,0,0,0,0,0,0.9577922077922078,0.930062630480167 
QA9Q230520044,L,1,0,0,0,0,0,0,0,0.9719222462203023,0.9511677282377919 
QA9Q230520044,R,1,0,0,0,0,0,0,0,0.941304347826087,0.9644723092998955 
QA9Q230520045,L,0,0,0,0,0,0,0,0,0.956989247311828,0.9427083333333334 
QA9Q230520045,R,0,1,0,0,0,0,0,0,0.9275675675675675,0.9456635318704284 
QA9Q230520046,L,0,0,0,0,0,0,0,0,0.9583333333333334,0.9396728016359919 
QA9Q230520046,R,0,0,0,0,0,0,0,0,0.9457700650759219,0.9612159329140462 
QA9Q230520047,L,1,0,0,0,0,0,0,0,0.9383116883116883,0.940809968847352 
QA9Q230520047,R,0,0,0,0,0,0,0,0,0.9738276990185387,0.8828451882845189 
QA9Q230520048,L,0,0,0,0,0,0,0,0,0.9442622950819672,0.9237199582027168 
QA9Q230520048,R,0,0,0,0,0,0,0,0,0.9607843137254902,0.9071729957805907 
QA9Q230520049,L,0,0,0,0,0,0,0,0,0.9407244785949506,0.9279569892473118 
QA9Q230520049,R,1,0,0,0,0,0,0,0,0.9548458149779736,0.92 
QA9Q230520051,L,3,0,0,0,0,0,0,0,0.9583333333333334,0.9351753453772582 
QA9Q230520051,R,0,0,0,0,0,0,0,0,0.9321851453175457,0.9416666666666667 
QA9Q230520052,L,0,0,0,0,0,0,0,0,0.9486338797814208,0.9512195121951219 
QA9Q230520052,R,0,0,0,0,0,0,0,0,0.9003359462486002,0.9614973262032086 
QA9Q230520053,L,0,0,0,0,0,0,0,0,0.9227513227513228,0.9579918032786885 
QA9Q230520053,R,0,0,0,0,0,0,0,0,0.8122653316645807,0.9672131147540983 
QA9Q230520054,L,0,0,0,0,0,0,0,0,0.8644808743169399,0.9478079331941545 
QA9Q230520054,R,0,1,0,0,0,0,0,0,0.9491341991341992,0.9400630914826499 
QA9Q230520055,L,0,0,0,0,0,0,0,0,0.9241603466955579,0.9004149377593361 
QA9Q230520055,R,0,0,0,0,0,0,0,0,0.9284916201117318,0.8972457627118644 
QA9Q230520056,L,3,0,0,0,0,0,0,0,0.9538784067085954,0.9557613168724279 
QA9Q230520056,R,2,0,0,0,0,0,0,0,0.91894852135816,0.9142259414225942 
QA9Q230520057,L,1,0,0,0,0,0,0,0,0.9505376344086022,0.9351464435146444 
QA9Q230520057,R,0,0,0,0,0,0,0,0,0.9422028353326063,0.9164021164021164 
QA9Q230520059,L,1,0,0,0,0,0,0,0,0.9354144241119483,0.9482936918304034 
QA9Q230520059,R,0,0,0,0,0,0,0,0,0.9765886287625418,0.9224318658280922 
QA9Q230520060,L,0,0,0,0,0,0,0,0,0.9646680942184154,0.9088082901554404 
QA9Q230520060,R,0,0,0,0,0,0,0,0,0.9555796316359697,0.9685534591194969 
QA9Q230520061,L,0,0,0,0,0,0,0,0,0.9611231101511879,0.94824016563147 
QA9Q230520061,R,0,0,0,0,0,0,0,0,0.9220489977728286,0.9558823529411765 
QA9Q230520062,L,0,0,0,0,0,0,0,0,0.955386289445049,0.9329140461215933 
QA9Q230520062,R,0,0,0,0,0,0,0,0,0.9605263157894737,0.9541088580576307 
QA9Q230520063,L,0,0,0,0,0,0,0,0,0.9633620689655172,0.9311064718162839 
QA9Q230520063,R,0,0,0,0,0,0,0,0,0.9545454545454546,0.8817317845828934 
QA9Q230520064,R,0,0,0,0,0,0,0,0,0.9598698481561823,0.8972457627118644 
QA9Q230520065,L,0,0,0,0,0,0,0,0,0.9394673123486683,0.9169510807736063 
QA9Q230520065,R,0,0,0,0,0,0,0,0,0.9654320987654321,0.882491186839013 
QA9Q230520066,L,0,0,0,0,0,0,0,0,0.9347826086956522,0.944327731092437 
QA9Q230520066,R,0,0,0,0,0,0,0,0,0.9477693144722524,0.974012474012474 
QA9Q230520067,L,1,0,0,0,0,0,0,0,0.8928571428571429,0.9101479915433404 
QA9Q230520067,R,1,0,0,0,0,0,0,0,0.9516310461192351,0.935965848452508 
QA9Q230520068,L,0,0,0,0,0,0,0,0,0.9502702702702702,0.9162303664921466 
QA9Q230520068,R,1,0,0,0,0,0,0,0,0.953763440860215,0.9363920750782064 
QA9Q230520069,L,0,0,0,0,0,0,0,0,0.9709821428571429,0.952431289640592 
QA9Q230520069,R,0,0,0,0,0,0,0,0,0.9483352468427095,0.8693304535637149 
QA9Q230520070,L,0,0,0,0,0,0,0,0,0.9428879310344828,0.9666319082377477 
QA9Q230520070,R,0,0,0,0,0,0,0,0,0.9470198675496688,0.9757127771911299 
QA9Q230520071,L,0,1,0,0,0,0,0,0,0.897136797454931,0.933678756476684 
QA9Q230520071,R,0,0,0,0,0,0,0,0,0.9749430523917996,0.9276595744680851 
QA9Q230520072,L,1,0,0,0,0,0,0,0,0.9341825902335457,0.931958762886598 
QA9Q230520072,R,0,0,0,0,0,0,0,0,0.9498289623717218,0.9340425531914893 
QA9Q230520073,L,0,0,0,0,0,0,0,0,0.9580193756727664,0.9486910994764398 
QA9Q230520073,R,1,0,0,0,0,0,0,0,0.9765208110992529,0.9019812304483837 
QA9Q230520074,L,0,0,0,0,0,0,0,0,0.9624060150375939,0.8577878103837472 
QA9Q230520074,R,0,0,0,0,0,0,0,0,0.9551282051282052,0.8601645123384254 
QA9Q230520075,L,1,0,0,0,0,0,0,0,0.933993399339934,0.9439153439153439 
QA9Q230520075,R,0,0,0,0,0,0,0,0,0.9631236442516269,0.889937106918239 
QA9Q230520076,L,1,0,0,0,0,0,0,0,0.9502702702702702,0.946875 
QA9Q230520076,R,1,0,0,0,0,0,0,0,0.9393605292171996,0.975609756097561 
QA9Q230520077,L,0,0,0,0,0,0,0,0,0.946969696969697,0.9450777202072539 
QA9Q230520077,R,0,0,0,0,0,0,0,0,0.9658590308370044,0.9390115667718192 
QA9Q230520078,L,0,0,0,0,0,0,0,0,0.9453376205787781,0.9582463465553236 
QA9Q230520078,R,0,0,0,0,0,0,0,0,0.9575892857142857,0.9208556149732621 
QA9Q230520080,L,0,0,0,0,0,0,0,0,0.9643243243243244,0.9478623566214807 
QA9Q230520080,R,0,0,0,0,0,0,0,0,0.9752953813104189,0.9492227979274611 
QA9Q230520081,L,0,0,0,0,0,0,0,0,0.9596174282678002,0.9637681159420289 
QA9Q230520081,R,0,0,0,0,0,0,0,0,0.9486607142857143,0.8915537017726799 
QA9Q230520082,L,0,0,0,0,0,0,0,0,0.9451612903225807,0.9357512953367876 
QA9Q230520082,R,0,0,0,0,0,0,0,0,0.9519015659955258,0.946259220231823 
QA9Q230520083,L,0,0,0,0,0,0,0,0,0.9678111587982833,0.9542619542619543 
QA9Q230520083,R,0,0,0,0,0,0,0,0,0.9676375404530745,0.9467084639498433 
QA9Q230520084,L,0,0,0,0,0,0,0,0,0.9267676767676768,0.8822857142857143 
QA9Q230520084,R,0,0,0,0,0,0,0,0,0.9608636977058029,0.8485958485958486 
QA9Q230520085,L,0,0,0,0,0,0,0,0,0.9762675296655879,0.9393939393939394 
QA9Q230520085,R,0,0,0,0,0,0,0,0,0.9230769230769231,0.9423076923076923 
QA9Q230520087,L,0,0,0,0,0,0,0,0,0.9609967497291441,0.9590336134453782 
QA9Q230520087,R,0,0,0,0,0,0,0,0,0.9636163175303197,0.9245283018867925 
QA9Q230520088,L,1,0,0,0,0,0,0,0,0.960427807486631,0.9499478623566214 
QA9Q230520088,R,0,0,0,0,0,0,0,0,0.959731543624161,0.9158679446219382 
QA9Q230520089,L,0,0,0,0,0,0,0,0,0.9606126914660832,0.9339622641509434 
QA9Q230520089,R,0,0,0,0,0,0,0,0,0.9528619528619529,0.9229957805907173 
QA9Q230520090,L,0,0,0,0,0,0,0,0,0.9203056768558951,0.9383490073145245 
QA9Q230520090,R,0,0,0,0,0,0,0,0,0.95152198421646,0.8920634920634921 
QA9Q230520091,L,0,0,0,0,0,0,0,0,0.9605543710021321,0.9635036496350365 
QA9Q230520091,R,0,0,0,0,0,0,0,0,0.9581497797356828,0.9331210191082803 
QA9Q230520092,L,0,0,0,0,0,0,0,0,0.9497142857142857,0.9458288190682557 
QA9Q230520092,R,0,0,0,0,0,0,0,0,0.9479512735326688,0.9504741833508957 
QA9Q230520093,L,0,0,0,0,0,0,0,0,0.9143798024149287,0.9639448568398727 
QA9Q230520093,R,1,0,0,0,0,0,0,0,0.9644012944983819,0.952928870292887 
QA9Q230520095,L,0,0,0,0,0,0,0,0,0.9638949671772429,0.930672268907563 
QA9Q230520095,R,0,0,0,0,0,0,0,0,0.8831615120274914,0.9129511677282378 
QA9Q230520096,L,0,0,0,0,0,0,0,0,0.9795258620689655,0.9478623566214807 
QA9Q230520096,R,0,0,0,0,0,0,0,0,0.9454148471615721,0.8997912317327766 
QA9Q230520098,L,2,0,0,0,0,0,0,0,0.9540873460246361,0.9116080937167199 
QA9Q230520098,R,0,0,0,0,0,0,0,0,0.9561027837259101,0.9140786749482401 
QA9Q230520099,L,0,0,0,0,0,0,0,0,0.9420454545454545,0.9662676822633297 
QA9Q230520099,R,0,0,0,0,0,0,0,0,0.9747530186608123,0.917981072555205 
QA9Q230520101,L,0,0,0,0,0,0,0,0,0.9280177187153932,0.9558823529411765 
QA9Q230520101,R,0,0,0,0,0,0,0,0,0.9253731343283582,0.9152173913043479 
QA9Q230520103,L,0,0,0,0,0,0,0,0,0.9584699453551913,0.9175475687103594 
QA9Q230520103,R,0,0,0,0,0,0,0,0,0.95092693565976,0.9184952978056427 
QA9Q230520104,L,0,0,0,0,0,0,0,0,0.9370860927152318,0.9429175475687104 
QA9Q230520105,L,0,0,0,0,0,0,0,0,0.9746835443037974,0.9418483904465212 
QA9Q230520105,R,0,0,0,0,0,0,0,0,0.9616204690831557,0.9241952232606438 
QA9Q230520106,L,0,0,0,0,0,0,0,0,0.9191489361702128,0.9348500517063082 
QA9Q230520106,R,0,0,0,0,0,0,0,0,0.9556277056277056,0.9304257528556594 
QA9Q230520107,L,0,0,0,0,0,0,0,0,0.9385113268608414,0.953416149068323 
QA9Q230520107,R,152,419,224,1,0,0,0,0,0.9363636363636364,0.936965811965812 
QA9Q230520108,L,0,0,0,0,0,0,0,0,0.9578107183580388,0.9199134199134199 
QA9Q230520108,R,0,0,0,0,0,0,0,0,0.9584699453551913,0.9276729559748428 
QA9Q230520107,L,0,0,0,0,0,0,0,0,0.9385113268608414,0.953416149068323 
QA9Q230520107,R,0,0,0,0,0,0,0,0,0.9363636363636364,0.936965811965812 
QA9Q230520041,L,0,0,0,0,0,0,0,0,0.9549356223175965,0.975 
QA9Q230520041,R,0,0,0,0,0,0,0,0,0.939120631341601,0.9544491525423728 
QA9Q230520018,L,0,1,0,0,0,0,0,0,0.9459459459459459,0.9499478623566214 
QA9Q230520018,R,0,0,0,0,0,0,0,0,0.8061104582843713,0.884133611691023 
QA9Q230519005,L,0,0,0,0,0,0,0,0,0.9269102990033222,0.9209157127991675 
QA9Q230520030,L,2,0,0,0,0,0,0,0,0.9181916038751345,0.9376299376299376 
